sample,index,area,zone,site,type,clay,silt,sand,BD,TC,TIC,TOC,pH,longx,laty,soilm,tree,shrub,bare,herb,dist_river,dist_cp,dist_pa,dist_village,soiltype,ndvi_dry2021,ndvi_dry2022,ndvi_wet2021,ndvi_wet2022
NA2Fd,1,CT8,CT8N,NA2,Fd,4.03,2.77,93.2,NA,0.26628,0.0009,0.26538,7.5,23.9804993,-20.6858997,0.125,0,50,15,35,39072.14377,6385.661348,36309.04422,57021.42686,Aeronosol,0.1859803,0.11936087,0.21730714,0.2371158
NA3Fd,2,CT8,CT8N,NA3,Fd,NA,NA,NA,NA,0.26605,0,0.26605,6.79,24.0286999,-20.6902008,0.225,15,30,30,25,38443.93107,3591.229754,37562.87916,53926.50527,Aeronosol,0.16688465,0.120164186,0.31913033,0.23505484
NA4Fd,3,CT8,CT8N,NA4,Fd,NA,NA,NA,NA,0.24681,0.00561,0.2412,5.85,24.0785007,-20.6882,0.475,0,40,30,30,33538.72342,2359.590291,32996.88489,50508.66361,Aeronosol,0.19561078,0.12837896,0.37547785,0.25137585
NA5Fd,4,CT8,CT8N,NA5,Fd,4,2.39,93.61,NA,0.2676,0,0.2676,5.96,24.1313,-20.6793995,0.175,0,40,35,25,28738.35673,3467.017565,27820.6345,45800.48168,Aeronosol,0.16879024,0.122086145,0.31558165,0.25393885
NA6Fd,5,CT8,CT8N,NA6,Fd,NA,NA,NA,NA,0.74015,0.00107,0.73908,6.19,24.1763,-20.6849003,0.25,0,15,10,75,24228.92149,3520.524815,23122.70403,42150.30482,Aeronosol,0.18042226,0.13546216,0.299843,0.2504221
NA8Fd,6,CT8,CT8N,NA8,Fd,4,4.88,91.12,1.613535021,0.8149,0.0245,0.7904,7.16,24.2705002,-20.6751995,0.6,90,0,8,2,14870.55453,1223.390911,13342.57282,33736.46205,Calcisol,0.20911065,0.1345753,0.30435833,0.22026391
NA9Fd,7,CT8,CT8N,NA9,Fd,NA,NA,NA,1.658569269,0.50851,0.00998,0.49853,6.33,24.3127003,-20.6945,0.775,20,10,40,30,10342.16756,3275.391688,8915.835224,32221.09473,Aeronosol,0.17890468,0.11546004,0.31430528,0.22579001
NA10Fd,8,CT8,CT8N,NA10,Fd,3.88,5.03,91.09,1.674725427,0.50068,0.00519,0.49549,6.94,24.3708992,-20.6919003,0.45,15,15,40,30,4275.612458,2321.078772,2906.149519,28465.45948,Aeronosol,0.16197208,0.11517897,0.34617925,0.23367725
NB1Fd,9,CT8,CT8N,NB1,Fd,NA,NA,NA,NA,0.2861,0.00696,0.27914,7.19,23.9326,-20.7187996,0.5,0,30,30,40,42682.91626,1228.676499,31657.56484,59601.64381,Aeronosol,0.18822768,0.106141664,0.27941215,0.24010947
NB2Fd,10,CT8,CT8N,NB2,Fd,4,2.03,93.97,NA,0.3804,0,0.3804,,23.9755001,-20.7257004,0.425,0,40,30,30,42987.67048,5608.396031,31933.82589,55548.42402,Aeronosol,0.1734523,0.12218523,0.2979754,0.23556483
