site,trapdays,ID,mvmt,Treatment_old,StartDate,EndDate
ND1,173,Y0026,Trail,Trail,2/10/2022,8/1/2022
ND2,173,Y0020,Trail,Trail,2/10/2022,8/1/2022
ND3,173,Y0023,Road,On road,2/10/2022,8/1/2022
ND4,173,Y0017,Road,On road,2/10/2022,8/1/2022
ND5,173,Y0028,Road,On road,2/10/2022,8/1/2022
ND6,173,Y0021,Trail,Trail,2/10/2022,8/1/2022
ND7,173,Y0029,Trail,Trail,2/10/2022,8/1/2022
ND8,173,Y0004,Road,On road,2/10/2022,8/1/2022
ND9,173,Y0039,Road,On road,2/10/2022,8/1/2022
ND10,173,Y0037,Trail,Trail,2/10/2022,8/1/2022
NC1,173,Y0033,Trail,Trail,2/10/2022,8/1/2022
NC2,173,Y0046,Road,On road,2/10/2022,8/1/2022
NC3,173,Y0013,Road,On road,2/10/2022,8/1/2022
NC4,173,Y0002,Trail,Trail,2/10/2022,8/1/2022
NC5,173,Y0030,Trail,Trail,2/10/2022,8/1/2022
NC6,173,Y0036,Trail,Trail,2/10/2022,8/1/2022
NC7,173,Y0012,Road,On road,2/10/2022,8/1/2022
NC8,173,Y0019,Trail,Trail,2/10/2022,8/1/2022
NC9,173,Y0014,Trail,Trail,2/10/2022,8/1/2022
NC10,173,Y0032,Trail,Trail,2/10/2022,8/1/2022
NB1,173,Y0022,Trail,Trail,2/10/2022,8/1/2022
NB2,173,Y0049,Road,On road,2/10/2022,8/1/2022
NB3,173,Y0027,Road,On road,2/10/2022,8/1/2022
NB4,173,Y0102,Road,On road,2/10/2022,8/1/2022
NB5,173,Y0016,Road,On road,2/10/2022,8/1/2022
NB6,173,Y0034,Road,On road,2/10/2022,8/1/2022
NB7,173,Y0001,Trail,Trail,2/10/2022,8/1/2022
NB8,173,Y0006,Road,On road,2/10/2022,8/1/2022
NB9,173,Y0007,Trail,Trail,2/10/2022,8/1/2022
NB10,173,Y0005,Trail,Trail,2/10/2022,8/1/2022
NA1,173,Y0051,Trail,Trail,2/10/2022,8/1/2022
NA2,173,Y0031,Trail,Trail,2/10/2022,8/1/2022
NA3,173,Y0054,Road,On road,2/10/2022,8/1/2022
NA4,173,Y0025,Road,On road,2/10/2022,8/1/2022
NA5,173,Y0018,Trail,Trail,2/10/2022,8/1/2022
NA6,173,Y0015,Road,On road,2/10/2022,8/1/2022
NA7,173,Y0008,Trail,Trail,2/10/2022,8/1/2022
NA8,173,Y0040,Trail,Trail,2/10/2022,8/1/2022
NA9,173,Y0035,Road,On road,2/10/2022,8/1/2022
NA10,173,Y0050,Road,On road,2/10/2022,8/1/2022
SD3,183,Y5300,Trail,Off road,31-Jan-22,8/1/2022
SA1,183,Y7200,Road,On road,31-Jan-22,8/1/2022
SA2,181,Y0101,Road,On road,2-Feb-22,8/1/2022
SA6,185,Y0100,Road,On road,29-Jan-22,8/1/2022
SA7,185,Y6400,Road,On road,29-Jan-22,8/1/2022
SB1,183,Y8000,Road,On road,31-Jan-22,8/1/2022
SB6,185,Y2400,Road,On road,29-Jan-22,8/1/2022
SB7,185,Y5500,Road,On road,29-Jan-22,8/1/2022
SC2,184,Y8700,Road,On road,30-Jan-22,8/1/2022
SC4,183,Y8300,Road,On road,31-Jan-22,8/1/2022
SD2,182,Y6300,Road,On road,1-Feb-22,8/1/2022
SE6,181,Y7900,Road,On road,2-Feb-22,8/1/2022
SD1,182,Y6800,Road,Road,1-Feb-22,8/1/2022
SD5,181,Y7700,Road,Road,2-Feb-22,8/1/2022
SE4,181,Y7600,Road,Road,2-Feb-22,8/1/2022
SE5,181,Y7800,Road,Road,2-Feb-22,8/1/2022
SA3,184,Y8100,Trail,Trail,30-Jan-22,8/1/2022
SA4,184,Y9000,Trail,Trail,30-Jan-22,8/1/2022
SA5,185,Y3800,Trail,Trail,29-Jan-22,8/1/2022
SA8,180,Y7300,Trail,Trail,3-Feb-22,8/1/2022
SB2,184,Y6000,Trail,Trail,30-Jan-22,8/1/2022
SB3,181,Y7400,Trail,Trail,2-Feb-22,8/1/2022
SB4,184,Y8200,Trail,Trail,30-Jan-22,8/1/2022
SB5,184,Y8600,Trail,Trail,30-Jan-22,8/1/2022
SB8,180,Y8900,Trail,Trail,3-Feb-22,8/1/2022
SC1,182,Y0900,Trail,Trail,1-Feb-22,8/1/2022
SC5,179,Y7100,Trail,Trail,4-Feb-22,8/1/2022
SC6,180,Y5700,Trail,Trail,3-Feb-22,8/1/2022
SC7,180,Y6700,Trail,Trail,3-Feb-22,8/1/2022
SC8,184,Y5900,Trail,Trail,30-Jan-22,8/1/2022
SD4,183,Y6600,Trail,Trail,31-Jan-22,8/1/2022
SD6,180,Y8400,Trail,Trail,3-Feb-22,8/1/2022
SD7,180,Y6900,Trail,Trail,3-Feb-22,8/1/2022
SD8,180,Y6200,Trail,Trail,3-Feb-22,8/1/2022
SE1,182,Y5600,Trail,Trail,1-Feb-22,8/1/2022
SE2,182,Y8800,Trail,Trail,1-Feb-22,8/1/2022
SE3,181,Y6500,Trail,Trail,2-Feb-22,8/1/2022
SE7,181,Y8500,Trail,Trail,2-Feb-22,8/1/2022
SE8,181,Y7000,Trail,Trail,2-Feb-22,8/1/2022
SC3,183,Y5800,Trail,Trail,31-Jan-22,8/1/2022
