index,sample,zone,site,ID,ctp,type,CLAY,SILT,SAND,BD,TC,TIC,TOC,path_type,road_width_in,tree,shrub,bare,herb,avg_sm,avg_st,x,y,soiltype,dry21,dry22,wet21,wet22,avg21,avg22,avgdry,avgwet,dist_river,town,dist_town,dist_cp,dist_PA,dist_MNP
1,NA2Fd,CT8,CT8-N,NA2,NA2,Fd,4.03,2.77,93.2,NA,0.26628,0.0009,0.26538,trail,20,0,50,15,35,0.125,19.66666667,23.9804993,-20.6858997,ARh,0.1859803,0.11936087,0.21730714,0.2371158,0.20164372,0.178238335,0.152670585,0.22721147,39069.33923,Moremaoto,57018.70574,2366.580152,36306.71599,42739.03066
2,NA3Fd,CT8,CT8-N,NA3,NA3,Fd,NA,NA,NA,NA,0.26605,0,0.26605,road ,60,15,30,30,25,0.225,26.4,24.0286999,-20.6902008,ARh,0.16688465,0.120164186,0.31913033,0.23505484,0.24300749,0.177609513,0.143524418,0.277092585,38444.61094,Rakops,53925.3092,2741.235569,37560.77403,37798.90971
3,NA4Fd,CT8,CT8-N,NA4,NA4,Fd,NA,NA,NA,NA,0.24681,0.00561,0.2412,road ,48,0,40,30,30,0.475,33.8,24.0785007,-20.6882,ARh,0.19561078,0.12837896,0.37547785,0.25137585,0.285544315,0.189877405,0.16199487,0.31342685,33539.23112,Rakops,50507.18068,2359.557913,32997.2913,32976.03857
4,NA5Fd,CT8,CT8-N,NA5,NA5,Fd,4,2.39,93.61,NA,0.2676,0,0.2676,trail,12,0,40,35,25,0.175,33.33333333,24.1313,-20.6793995,ARh,0.16879024,0.122086145,0.31558165,0.25393885,0.242185945,0.188012498,0.145438193,0.28476025,28738.62243,Khumaga,45800.47987,3466.814098,27821.31471,27803.82887
5,NA6Fd,CT8,CT8-N,NA6,NA6,Fd,NA,NA,NA,NA,0.74015,0.00107,0.73908,road,70,0,15,10,75,0.25,35.36666667,24.1763,-20.6849003,ARh,0.18042226,0.13546216,0.299843,0.2504221,0.24013263,0.19294213,0.15794221,0.27513255,24229.0489,Khumaga,42150.05189,3520.375721,23123.27035,23109.12296
6,NA8Fd,CT8,CT8-N,NA8,NA8,Fd,4,4.88,91.12,1.613535021,0.8149,0.0245,0.7904,trail,36,90,0,8,2,0.6,24.86666667,24.2705002,-20.6751995,CLh,0.20911065,0.1345753,0.30435833,0.22026391,0.25673449,0.177419605,0.171842975,0.26231112,14870.89365,Khumaga,33735.8257,1223.309078,13342.89175,13335.19327
7,NA9Fd,CT8,CT8-N,NA9,NA9,Fd,NA,NA,NA,1.658569269,0.50851,0.00998,0.49853,road ,115,20,10,40,30,0.775,19.56666667,24.3127003,-20.6945,ARh,0.17890468,0.11546004,0.31430528,0.22579001,0.24660498,0.170625025,0.14718236,0.270047645,10342.42053,Khumaga,32220.0503,3275.442747,8916.049159,8911.040608
8,NA10Fd,CT8,CT8-N,NA10,NA10,Fd,3.88,5.03,91.09,1.674725427,0.50068,0.00519,0.49549,clearing,250,15,15,40,30,0.45,15.3,24.3708992,-20.6919003,ARh,0.16197208,0.11517897,0.34617925,0.23367725,0.254075665,0.17442811,0.138575525,0.28992825,4275.716755,Khumaga,28464.12969,2321.077365,2906.212129,2904.646626
9,NB1Fd,CT8,CT8-N,NB1,NB1,Fd,NA,NA,NA,NA,0.2861,0.00696,0.27914,trail,20,0,30,30,40,0.5,26.63333333,23.9326,-20.7187996,ARh,0.18822768,0.106141664,0.27941215,0.24010947,0.233819915,0.173125567,0.147184672,0.25976081,42679.85203,Rakops,59601.19669,1228.688346,31655.38127,46572.42404
10,NB2Fd,CT8,CT8-N,NB2,NB2,Fd,4,2.03,93.97,NA,0.3804,0,0.3804,road ,48,0,40,30,30,0.425,27.4,23.9755001,-20.7257004,ARh,0.1734523,0.12218523,0.2979754,0.23556483,0.23571385,0.17887503,0.147818765,0.266770115,42988.55547,Rakops,55547.82766,4658.214645,31931.81693,42049.9425
